,Company,TypeName,Inches,ScreenResolution,Ram,Gpu,OpSys,Price,Memory1,Memory2,Processor
185,Dell,Notebook,17.3,Full HD / Touchscreen 1920x1080,16.0,Nvidia GeForce 150MX,Windows 10,82530.72,512GB SSD,No additional storage,Intel Core i7
186,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,16.0,Nvidia GeForce GTX 1050,Windows 10,127712.16,512GB SSD,No additional storage,Intel Core i7
187,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,No OS,41505.12,256GB SSD,No additional storage,Intel Core i5
188,Acer,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8.0,Intel HD Graphics 615,Windows 10,52693.92,256GB SSD,No additional storage,Intel Core i5
189,Dell,Notebook,17.3,Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,57808.8,128GB SSD,1TB HDD,Intel Core i7
191,Vero,Notebook,14.0,IPS Panel Full HD 1920x1080,4.0,Intel HD Graphics 500,Windows 10,13852.8,32GB Flash Storage,No additional storage,Intel Celeron
192,Xiaomi,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce MX150,No OS,53274.672,256GB SSD,No additional storage,Intel Core i5
193,Lenovo,Notebook,17.3,1600x900,8.0,Nvidia GeForce MX150,No OS,37189.44,256GB SSD,No additional storage,Intel Core i5
194,Dell,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,44701.92,1TB HDD,No additional storage,Intel Core i7
195,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce 930MX,Windows 10,48697.92,1TB HDD,No additional storage,Intel Core i5
196,Razer,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,32.0,Nvidia GeForce GTX 1080,Windows 10,324954.72,1TB SSD,No additional storage,Intel Core i7
197,HP,Notebook,13.3,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,51095.52,512GB SSD,No additional storage,Intel Core i5
198,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1050,Windows 10,73473.12,256GB SSD,1TB HDD,Intel Core i7
199,HP,Notebook,17.3,Full HD 1920x1080,8.0,Nvidia GeForce 930MX ,Windows 10,55677.6,256GB SSD,No additional storage,Intel Core i7
200,Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,16.0,Nvidia GeForce GTX 1060,Windows 10,98301.6,512GB SSD,1TB HDD,Intel Core i7
201,Lenovo,Notebook,15.6,1366x768,4.0,Intel HD Graphics 520,Windows 10,26267.04,128GB SSD,No additional storage,Intel Core i5
202,Acer,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 940MX,Windows 10,39533.76,1TB HDD,No additional storage,Intel Core i7
203,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1060,Windows 10,93186.72,512GB SSD,1TB HDD,Intel Core i7
204,Dell,Workstation,15.6,4K Ultra HD 3840x2160,16.0,Nvidia Quadro M1200,Windows 10,162770.4,256GB SSD,1TB HDD,Intel Xeon
205,Lenovo,Gaming,15.6,Full HD 1920x1080,16.0,Nvidia GeForce GTX 1060,No OS,74485.44,512GB SSD,No additional storage,Intel Core i7
206,Dell,Notebook,15.6,Touchscreen 1366x768,6.0,Intel HD Graphics 620,Windows 10,23389.92,1TB HDD,No additional storage,Intel Core i3
207,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8.0,Intel UHD Graphics 620,Windows 10,103842.72,256GB SSD,No additional storage,Intel Core i7
208,Dell,Ultrabook,13.3,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,77202.72,256GB SSD,No additional storage,Intel Core i7
210,Acer,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Linux,41505.12,1TB HDD,No additional storage,Intel Core i7
211,Asus,Gaming,17.3,Full HD 1920x1080,16.0,Nvidia GeForce GTX 1050,Windows 10,74964.96,256GB SSD,1TB HDD,Intel Core i7
212,HP,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 520,No OS,18594.72,500GB HDD,No additional storage,Intel Core i3
213,Lenovo,Notebook,15.6,Full HD 1920x1080,8.0,Intel HD Graphics 620,No OS,29250.72,256GB SSD,No additional storage,Intel Core i5
214,Huawei,Ultrabook,13.0,IPS Panel Full HD 2160x1440,8.0,Intel HD Graphics 620,Windows 10,79866.72,512GB SSD,No additional storage,Intel Core i7
215,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,49650.5664,256GB SSD,No additional storage,Intel Core i7
216,Lenovo,Notebook,17.3,1600x900,8.0,Nvidia GeForce GTX 940MX,No OS,31381.92,1TB HDD,No additional storage,Intel Core i5
217,HP,Notebook,14.0,Full HD 1920x1080,8.0,Nvidia GeForce 930MX,Windows 10,54931.68,256GB SSD,No additional storage,Intel Core i7
218,Dell,Ultrabook,14.0,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,61218.72,256GB SSD,No additional storage,Intel Core i5
219,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,16.0,Intel UHD Graphics 620,Windows 10,68145.12,512GB SSD,No additional storage,Intel Core i7
220,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon 520,Linux,36089.208,256GB SSD,No additional storage,Intel Core i5
221,Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,47898.72,256GB SSD,No additional storage,Intel Core i5
222,Toshiba,Ultrabook,13.3,Full HD 1920x1080,8.0,Intel HD Graphics 520,Windows 10,72620.64,256GB SSD,No additional storage,Intel Core i7
223,HP,Notebook,15.6,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,42304.32,1TB HDD,No additional storage,Intel Core i5
224,Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1060,Windows 10,130873.7952,256GB SSD,1TB HDD,Intel Core i7
225,Acer,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 940MX,Windows 10,44328.96,256GB SSD,No additional storage,Intel Core i7
226,Dell,Notebook,15.6,Full HD / Touchscreen 1920x1080,16.0,AMD Radeon R7 M445,Windows 10,45768.0528,1TB HDD,No additional storage,Intel Core i7
227,Asus,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 920MX ,Windows 10,40972.32,256GB SSD,No additional storage,Intel Core i5
228,Asus,Notebook,17.3,Full HD 1920x1080,8.0,Nvidia GeForce GTX 950M,Windows 10,47472.48,256GB SSD,500GB HDD,Intel Core i5
229,HP,Notebook,15.6,Full HD 1920x1080,8.0,AMD FirePro W4190M ,Windows 10,67612.32,1TB HDD,No additional storage,Intel Core i7
230,Asus,Notebook,15.6,1366x768,4.0,Intel HD Graphics 620,Windows 10,21258.1872,1TB HDD,No additional storage,Intel Core i3
231,HP,Notebook,15.6,1366x768,4.0,AMD Radeon R2,Windows 10,17582.4,500GB HDD,No additional storage,AMD E-Series
232,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1060,Windows 10,79866.72,256GB SSD,1TB HDD,Intel Core i7
233,Dell,Notebook,14.0,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,45767.52,256GB SSD,No additional storage,Intel Core i5
234,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8.0,Intel HD Graphics 520,Windows 10,36709.92,256GB SSD,No additional storage,Intel Core i5
235,Dell,Notebook,15.6,Full HD 1920x1080,16.0,AMD Radeon R7 M445,Linux,47898.72,256GB SSD,No additional storage,Intel Core i7
236,Acer,Notebook,15.6,1366x768,4.0,Intel HD Graphics 520,Linux,20779.2,1TB HDD,No additional storage,Intel Core i3
237,Asus,Notebook,15.6,Full HD 1920x1080,4.0,AMD Radeon R5 M430,Windows 10,30636.0,128GB SSD,1TB HDD,AMD A10-Series
238,Asus,Gaming,17.3,Full HD 1920x1080,32.0,Nvidia GeForce GTX 1080,Windows 10,207259.2,512GB SSD,1TB HDD,Intel Core i7
239,Acer,Gaming,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,45074.88,256GB SSD,No additional storage,Intel Core i5
240,Lenovo,Notebook,15.6,1366x768,8.0,Intel HD Graphics 520,Windows 10,31381.92,128GB SSD,No additional storage,Intel Core i3
241,Asus,Notebook,17.3,Full HD 1920x1080,8.0,Nvidia GeForce 150MX,Windows 10,61005.6,128GB SSD,1TB HDD,Intel Core i7
242,Asus,Notebook,17.3,Full HD 1920x1080,8.0,Nvidia GeForce GTX 950M,No OS,47365.92,128GB SSD,1TB HDD,Intel Core i7
243,Dell,Gaming,15.6,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,46833.12,256GB SSD,No additional storage,Intel Core i5
244,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,8.0,Intel HD Graphics 620,Windows 10,57489.12,256GB SSD,No additional storage,Intel Core i7
245,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,52480.8,128GB SSD,2TB HDD,Intel Core i7
246,HP,Notebook,15.6,Touchscreen 1366x768,8.0,Intel HD Graphics 620,Windows 10,29783.52,1TB HDD,No additional storage,Intel Core i5
247,Asus,Gaming,17.3,Full HD 1920x1080,16.0,Nvidia GeForce GTX 1080,Windows 10,159786.72,256GB SSD,No additional storage,Intel Core i7
248,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,4.0,Intel UHD Graphics 620,Windows 10,35964.0,500GB HDD,No additional storage,Intel Core i5
249,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8.0,Intel Iris Plus Graphics 650,macOS,108691.2,512GB SSD,No additional storage,Intel Core i5
250,Dell,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,43636.32,1TB HDD,No additional storage,Intel Core i7
251,Asus,Gaming,17.3,Full HD 1920x1080,16.0,Nvidia GeForce GTX 980M,Windows 10,95850.72,256GB SSD,1TB HDD,Intel Core i7
252,Asus,Notebook,15.6,1366x768,4.0,AMD Radeon R5 M420,Windows 10,24988.32,1TB HDD,No additional storage,AMD A9-Series
253,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,98514.72,512GB SSD,No additional storage,Intel Core i7
254,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,4.0,Nvidia GeForce MX130,Windows 10,37402.56,256GB SSD,No additional storage,Intel Core i3
255,Dell,Ultrabook,13.3,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,50562.72,256GB SSD,No additional storage,Intel Core i5
256,HP,Notebook,15.6,1366x768,8.0,AMD Radeon R4 Graphics,Windows 10,23757.552,128GB SSD,No additional storage,AMD A6-Series
257,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce MX150,Windows 10,56423.52,1TB HDD,No additional storage,Intel Core i7
258,MSI,Gaming,17.3,Full HD 1920x1080,16.0,Nvidia GeForce GTX 1070,Windows 10,133146.72,512GB SSD,1TB HDD,Intel Core i7
259,Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,8.0,Nvidia GeForce GTX 1050M,Windows 10,90522.72,512GB SSD,No additional storage,Intel Core i7
260,Dell,Notebook,17.3,Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,60845.76,128GB SSD,1TB HDD,Intel Core i7
261,Lenovo,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 520,No OS,23656.32,256GB SSD,No additional storage,Intel Core i3
262,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,4.0,Intel HD Graphics 620,Windows 10,38468.16,500GB HDD,No additional storage,Intel Core i5
263,Dell,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 620,Windows 10,35004.96,1TB HDD,No additional storage,Intel Core i5
264,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon R5 M430,Windows 10,30103.2,1TB HDD,No additional storage,Intel Core i5
265,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,42570.72,256GB SSD,No additional storage,Intel Core i5
266,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,79866.72,512GB SSD,512GB SSD,Intel Core i7
268,HP,Notebook,17.3,Full HD 1920x1080,8.0,Nvidia GeForce 930MX ,Windows 10,54239.04,1TB HDD,No additional storage,Intel Core i7
269,Lenovo,Notebook,15.6,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,46886.4,256GB SSD,No additional storage,Intel Core i7
270,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8.0,Intel Iris Graphics 550,macOS,104370.192,512GB SSD,No additional storage,Intel Core i5
271,Asus,Gaming,17.3,Full HD 1920x1080,16.0,AMD Radeon RX 580,Windows 10,82530.72,256GB SSD,1TB HDD,AMD Ryzen
272,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon 520,Linux,39164.5296,256GB SSD,No additional storage,Intel Core i7
273,Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440,16.0,Intel HD Graphics 520,Windows 10,133146.72,512GB SSD,No additional storage,Intel Core i7
274,Toshiba,Notebook,15.6,1366x768,8.0,Nvidia GeForce 930M,Windows 10,43263.36,500GB HDD,No additional storage,Intel Core i7
275,Dell,Notebook,15.6,1366x768,12.0,Intel HD Graphics 620,Windows 10,37992.3696,1TB HDD,No additional storage,Intel Core i7
276,Dell,Notebook,17.3,Full HD 1920x1080,8.0,AMD Radeon 530,Linux,58554.72,128GB SSD,1TB HDD,Intel Core i7
277,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce MX130,Windows 10,39693.6,1TB HDD,No additional storage,Intel Core i7
278,Lenovo,Notebook,17.3,1600x900,4.0,Intel HD Graphics 520,Windows 10,26053.92,1TB HDD,No additional storage,Intel Core i3
279,Lenovo,Notebook,17.3,Full HD 1920x1080,8.0,Nvidia GeForce MX150,No OS,45234.72,2TB HDD,No additional storage,Intel Core i7
280,Lenovo,Notebook,17.3,1600x900,6.0,Nvidia GeForce 940MX,Windows 10,45767.52,128GB SSD,1TB HDD,Intel Core i7
281,Dell,Notebook,15.6,Full HD 1920x1080,4.0,AMD Radeon R5 M430,Linux,22803.84,1TB HDD,No additional storage,Intel Core i3
282,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,44169.12,256GB SSD,No additional storage,Intel Core i5
283,Lenovo,Notebook,15.6,Full HD 1920x1080,6.0,Intel HD Graphics 620,Windows 10,30849.12,256GB SSD,No additional storage,Intel Core i5
284,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce MX150,Windows 10,50669.28,256GB SSD,No additional storage,Intel Core i7
285,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,12.0,Intel HD Graphics 620,Windows 10,35111.52,1TB HDD,No additional storage,Intel Core i7
286,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,8.0,Intel HD Graphics 630,Windows 10,58448.16,256GB SSD,No additional storage,Intel Core i7
287,Asus,Ultrabook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 940MX,Windows 10,52054.56,256GB SSD,No additional storage,Intel Core i5
288,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1050 Ti,Windows 10,62817.12,256GB SSD,1TB HDD,Intel Core i7
289,Lenovo,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 940MX,No OS,35112.0528,1TB HDD,No additional storage,Intel Core i7
290,Acer,Notebook,15.6,1366x768,2.0,Intel HD Graphics,Chrome OS,10602.72,16GB SSD,No additional storage,Intel Celeron
291,Asus,Gaming,17.3,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,63243.36,1TB HDD,No additional storage,Intel Core i7
292,HP,Notebook,17.3,1600x900,8.0,Intel HD Graphics 520,Windows 10,26053.92,1TB HDD,No additional storage,Intel Core i3
293,Dell,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,97449.12,256GB SSD,No additional storage,Intel Core i7
294,Lenovo,Notebook,15.6,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,39373.92,256GB SSD,No additional storage,Intel Core i5
295,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce GTX 1060,Windows 10,69210.72,1TB HDD,No additional storage,Intel Core i7
296,Acer,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050 Ti,Linux,52161.12,256GB SSD,No additional storage,Intel Core i7
297,Dell,Workstation,17.3,Full HD 1920x1080,16.0,Nvidia Quadro M1200,Windows 10,153705.3408,256GB SSD,No additional storage,Intel Core i7
298,Lenovo,Notebook,15.6,Full HD 1920x1080,6.0,AMD Radeon R5 430,Windows 10,26586.72,1TB HDD,No additional storage,AMD A10-Series
299,Asus,Ultrabook,15.6,Full HD 1920x1080,16.0,Nvidia GeForce 940MX,Windows 10,78215.04,512GB SSD,No additional storage,Intel Core i7
300,Asus,Notebook,14.0,1366x768,4.0,Intel HD Graphics 620,Windows 10,27119.52,128GB SSD,No additional storage,Intel Core i3
301,Asus,Gaming,17.3,Full HD 1920x1080,16.0,Nvidia GeForce GTX 1070,Windows 10,113060.16,256GB SSD,1TB HDD,Intel Core i7
302,Lenovo,Notebook,17.3,1600x900,6.0,Nvidia GeForce GTX 940M,Windows 10,34578.72,1TB HDD,No additional storage,Intel Core i5
303,Lenovo,Notebook,15.6,1366x768,8.0,Nvidia GeForce 940MX,No OS,29250.72,2TB HDD,No additional storage,Intel Core i5
304,Asus,Gaming,15.6,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050 Ti,Windows 10,67399.2,128GB SSD,1TB HDD,Intel Core i7
305,Lenovo,Notebook,15.6,1366x768,4.0,Intel HD Graphics 505,No OS,19180.2672,1TB HDD,No additional storage,Intel Pentium
306,HP,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,16.0,Intel HD Graphics 620,Windows 10,105228.0,256GB SSD,No additional storage,Intel Core i7
307,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce 930M,Windows 10,55571.04,256GB SSD,No additional storage,Intel Core i7
308,Lenovo,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 940MX,Windows 10,43636.32,128GB SSD,1TB HDD,Intel Core i5
309,HP,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 520,Windows 10,24988.32,1TB HDD,No additional storage,Intel Core i3
310,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,53226.72,256GB SSD,No additional storage,Intel Core i5
311,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16.0,Intel UHD Graphics 620,Windows 10,133146.72,1TB SSD,No additional storage,Intel Core i7
312,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1070,Windows 10,111834.72,256GB SSD,1TB HDD,Intel Core i7
313,Acer,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon R5,Windows 10,24988.32,256GB SSD,No additional storage,AMD A8-Series
314,Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,2.0,Intel HD Graphics 500,Windows 10,14652.0,32GB Flash Storage,No additional storage,Intel Celeron
315,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,44968.32,128GB SSD,1TB HDD,Intel Core i5
316,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16.0,Intel UHD Graphics 620,Windows 10,130482.72,1TB SSD,No additional storage,Intel Core i7
317,Lenovo,Notebook,13.3,1366x768,4.0,Intel HD Graphics 510,Chrome OS,24503.472,16GB Flash Storage,No additional storage,Intel Celeron
318,HP,Notebook,14.0,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,52214.4,256GB SSD,No additional storage,Intel Core i5
319,Acer,Notebook,11.6,1366x768,4.0,Intel HD Graphics 405,Windows 10,25840.8,128GB Flash Storage,No additional storage,Intel Pentium
320,HP,Notebook,14.0,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,68837.76,256GB SSD,No additional storage,Intel Core i7
321,Lenovo,Notebook,17.3,1600x900,4.0,Nvidia GeForce 920MX,Windows 10,31381.92,1TB HDD,No additional storage,Intel Core i5
322,Asus,Notebook,14.0,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,58288.32,256GB SSD,No additional storage,Intel Core i7
323,HP,Notebook,15.6,IPS Panel Full HD 1366x768,8.0,Intel UHD Graphics 620,Windows 10,48058.56,1TB HDD,No additional storage,Intel Core i7
324,Acer,Notebook,15.6,1366x768,8.0,AMD Radeon RX 540,Windows 10,35111.52,256GB SSD,No additional storage,AMD A12-Series
325,Lenovo,Notebook,14.0,1366x768,4.0,Intel HD Graphics 500,Windows 10,15557.76,32GB Flash Storage,No additional storage,Intel Celeron
326,Acer,Notebook,15.6,1366x768,6.0,Intel HD Graphics 620,Windows 10,29250.72,1TB HDD,No additional storage,Intel Core i5
327,Asus,Ultrabook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 940MX,Windows 10,55938.672,256GB SSD,No additional storage,Intel Core i7
328,HP,Ultrabook,12.5,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,71128.8,256GB SSD,No additional storage,Intel Core i7
329,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,32.0,Nvidia GeForce GTX 1050,Windows 10,140605.92,1TB SSD,No additional storage,Intel Core i7
330,MSI,Gaming,17.3,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050 Ti,Windows 10,63882.72,256GB SSD,1TB HDD,Intel Core i7
331,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,50243.04,256GB SSD,No additional storage,Intel Core i5
332,Asus,Notebook,14.0,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,71075.52,256GB SSD,1TB HDD,Intel Core i7
333,Lenovo,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 520,Windows 10,23922.72,1TB HDD,No additional storage,Intel Core i3
334,Asus,Gaming,15.6,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,53226.72,256GB SSD,No additional storage,Intel Core i7
335,HP,Notebook,14.0,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,67559.04,256GB SSD,No additional storage,Intel Core i5
337,HP,Notebook,15.6,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,60952.32,256GB SSD,No additional storage,Intel Core i5
338,Asus,Notebook,15.6,1366x768,4.0,Intel HD Graphics 500,Linux,14651.4672,1TB HDD,No additional storage,Intel Celeron
339,Dell,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 940MX,Windows 10,60885.72,256GB SSD,No additional storage,Intel Core i5
340,Dell,Notebook,15.6,1366x768,4.0,Intel HD Graphics,Linux,14646.672,500GB HDD,No additional storage,Intel Celeron
341,Lenovo,Notebook,15.6,Full HD 1920x1080,12.0,AMD Radeon 530,Windows 10,47898.72,2TB HDD,No additional storage,AMD A12-Series
342,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce 930MX ,Windows 10,38148.48,1TB HDD,No additional storage,Intel Core i3
343,Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16.0,Intel UHD Graphics 620,Windows 10,111834.72,512GB SSD,No additional storage,Intel Core i7
344,Dell,Ultrabook,13.3,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,84129.12,256GB SSD,No additional storage,Intel Core i7
345,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1050 Ti,Windows 10,60153.12,256GB SSD,2TB HDD,Intel Core i7
346,HP,Notebook,14.0,1366x768,2.0,Intel HD Graphics 400,Windows 10,14865.12,32GB Flash Storage,No additional storage,Intel Celeron
347,Dell,Ultrabook,15.6,Full HD 1920x1080,16.0,Intel UHD Graphics 620,Windows 10,85672.1088,512GB SSD,256GB SSD,Intel Core i7
348,Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,4.0,Intel HD Graphics 500,Windows 10,19980.0,32GB Flash Storage,No additional storage,Intel Celeron
349,Dell,Ultrabook,15.6,Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,35324.64,1TB HDD,No additional storage,Intel Core i5
351,HP,Notebook,15.6,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,69477.12,256GB SSD,No additional storage,Intel Core i7
352,MSI,Gaming,17.3,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1060,Windows 10,75071.52,128GB SSD,1TB HDD,Intel Core i7
353,HP,Workstation,15.6,Full HD 1920x1080,8.0,Nvidia Quadro M1200,Windows 10,92615.0256,256GB SSD,No additional storage,Intel Core i7
354,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce 930M,Windows 10,74751.84,512GB SSD,No additional storage,Intel Core i7
355,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,51729.552,128GB SSD,2TB HDD,Intel Core i7
356,Lenovo,Notebook,15.6,1366x768,4.0,Intel HD Graphics 500,No OS,17155.6272,1TB HDD,No additional storage,Intel Celeron
357,Dell,Gaming,15.6,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,53226.72,1TB HDD,No additional storage,Intel Core i5
358,Dell,Notebook,15.6,Touchscreen 1366x768,8.0,Intel HD Graphics 620,Windows 10,29696.6736,2TB HDD,No additional storage,Intel Core i5
359,Dell,Notebook,14.0,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,76030.56,256GB SSD,No additional storage,Intel Core i5
360,HP,Notebook,15.6,1366x768,4.0,Intel HD Graphics 520,Windows 10,23389.92,500GB HDD,No additional storage,Intel Core i3
361,Asus,Notebook,14.0,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,50349.6,256GB SSD,No additional storage,Intel Core i5
362,Lenovo,Notebook,17.3,1600x900,6.0,Nvidia GeForce GTX 940MX,Windows 10,38308.32,128GB SSD,1TB HDD,Intel Core i5
363,HP,Notebook,15.6,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,34045.92,1TB HDD,No additional storage,Intel Core i5
364,Lenovo,Notebook,15.6,1366x768,8.0,Nvidia GeForce 920MX ,No OS,26586.72,256GB SSD,No additional storage,Intel Core i3
365,HP,Notebook,15.6,1366x768,8.0,Intel HD Graphics 405,Windows 10,20725.92,2TB HDD,No additional storage,Intel Pentium
366,Dell,Notebook,17.3,Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,57808.8,128GB SSD,1TB HDD,Intel Core i5
367,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,No OS,43103.52,128GB SSD,1TB HDD,Intel Core i5
